Chr,Start,End,Rep.TSS,Strand,Location,GeneID,TranscriptID
KhC8,371895,371947,371915,+,TSS,KH.C8.493,KH.C8.493.v1.A.ND1-1
KhC8,4362463,4362473,4362463,-,TSS,KH.C8.440,KH.C8.440.v1.A.ND1-1
KhC14,3426631,3426633,3426633,+,intron,KH.C14.51,KH.C14.51.v1.B.ND2-1
KhC1,6657756,6657836,6657793,-,TSS,KH.C1.28,KH.C1.28.v1.A.nonSL1-1
KhC4,3001083,3001087,3001084,-,intergenic,KH.C4.247,KH.C4.247.v2.A.ND1-1
KhS406,25425,25443,25433,+,TSS,KH.S406.11,KH.S406.11.v1.A.nonSL17-1
KhC11,3855377,3855377,3855377,+,intron,KH.C11.419,KH.C11.419.v2.A.nonSL6-1
KhC7,4837760,4837760,4837760,-,intergenic,KH.C7.615,KH.C7.615.v1.A.ND1-1
KhC14,961031,961045,961045,+,TSS,KH.C14.267,KH.C14.267.v1.A.nonSL5-1
KhS406,19717,19717,19717,+,TSS,KH.S406.5,KH.S406.5.v1.A.nonSL2-1
KhL134,187256,187319,187285,-,intergenic,KH.L134.30,KH.L134.30.v1.A.ND1-1
KhL5,89026,89075,89048,-,TSS,KH.L5.2,KH.L5.2.v1.A.nonSL17-1
KhC10,2771625,2771656,2771653,+,intergenic,KH.C10.184,KH.C10.184.v1.A.ND1-1
KhC11,921986,922042,922000,-,TSS,KH.C11.46,KH.C11.46.v1.A.nonSL26-1
KhL153,578351,578351,578351,+,intergenic,KH.L153.14,KH.L153.14.v1.A.ND1-1
KhC9,151567,151608,151567,-,TSS,KH.C9.346,KH.C9.346.v1.B.nonSL2-1
KhS1546,4415,4487,4425,-,TSS,KH.S1546.1,KH.S1546.1.v1.A.nonSL2-1
KhC10,4032968,4033044,4032968,+,TSS,KH.C10.8,KH.C10.8.v1.A.nonSL4-1
KhC8,4587618,4587644,4587625,+,TSS,KH.C8.715,KH.C8.715.v1.A.nonSL8-1
KhC3,5667478,5667514,5667497,+,intergenic,KH.C3.830,KH.C3.830.v1.A.ND1-1
KhC3,4231996,4231998,4231998,-,TSS,KH.C3.814,KH.C3.814.v1.C.nonSL1-1
KhL22,527622,527635,527633,+,TSS,KH.L22.74,KH.L22.74.v1.C.nonSL2-1
KhC12,4172986,4173107,4172991,+,TSS,KH.C12.480,KH.C12.480.v1.A.nonSL4-1
KhC4,2667531,2667585,2667563,+,TSS,KH.C4.584,KH.C4.584.v1.A.nonSL5-1
KhC1,552068,552083,552078,-,intergenic,KH.C1.139,KH.C1.139.v1.A.ND2-1
KhC7,5490629,5490671,5490640,+,intergenic,KH.C7.48,KH.C7.48.v1.A.nonSL3-1
KhC10,1654436,1654510,1654438,-,intergenic,KH.C10.102,KH.C10.102.v1.B.ND1-1
KhC10,2712603,2712611,2712609,+,intergenic,KH.C10.551,KH.C10.551.v1.A.ND1-1
KhM0,2114,2139,2139,-,intergenic,No_transcripts,No_transcripts
KhS583,32406,32476,32441,+,intergenic,No_transcripts,No_transcripts
KhC4,146955,146956,146955,+,intergenic,KH.C4.308,KH.C4.308.v2.A.ND2-1
KhC8,576999,577020,576999,-,intron,KH.C8.510,KH.C8.510.v3.A.ND2-1
KhC10,1831884,1831946,1831900,-,intergenic,KH.C10.536,KH.C10.536.v1.A.ND1-1
KhC2,1922492,1922522,1922516,-,intron,KH.C2.924,KH.C2.924.v1.A.SL2-1
KhC1,1197642,1197642,1197642,+,intergenic,KH.C1.101,KH.C1.101.v1.A.nonSL4-1
KhC1,7492066,7492087,7492085,+,5UTR,KH.C1.294,KH.C1.294.v1.A.SL1-1
KhS544,45692,45735,45711,-,TSS,KH.S544.2,KH.S544.2.v1.A.nonSL3-1
KhC9,6011775,6011775,6011775,-,TSS,KH.C9.147,KH.C9.147.v1.A.nonSL1-1
KhL40,6022,6044,6037,+,TSS,KH.L40.17,KH.L40.17.v1.C.ND1-1
KhC10,4509460,4509492,4509480,-,TSS,KH.C10.92,KH.C10.92.v1.A.ND1-1
KhC8,1550888,1550975,1550924,-,TSS,KH.C8.565,KH.C8.565.v1.A.nonSL5-1
KhL116,19690,19693,19690,-,intergenic,KH.L116.7,KH.L116.7.v1.A.nonSL2-1
KhC11,1014164,1014165,1014165,-,5UTR,KH.C11.125,KH.C11.125.v1.A.SL2-1
KhS1035,14190,14198,14198,+,intergenic,No_transcripts,No_transcripts
KhC2,3250448,3250516,3250467,+,TSS,KH.C2.746,KH.C2.746.v1.A.nonSL3-1
KhC3,5691137,5691218,5691188,+,intergenic,KH.C3.203,KH.C3.203.v1.B.ND1-1
KhC11,1665673,1665702,1665695,-,intergenic,KH.C11.655,KH.C11.655.v1.A.nonSL4-1
KhS115,200353,200360,200359,-,TSS,KH.S115.35,KH.S115.35.v1.A.nonSL3-1
KhC9,5645623,5645645,5645637,+,intergenic,KH.C9.371,KH.C9.371.v1.A.nonSL4-1
KhC8,1461351,1461416,1461383,-,TSS,KH.C8.353,KH.C8.353.v1.A.ND1-1
KhL119,30310,30311,30311,+,intergenic,KH.L119.29,KH.L119.29.v1.A.ND1-1
KhC9,597103,597181,597119,-,TSS,KH.C9.267,KH.C9.267.v1.C.nonSL4-1
KhC5,816264,816285,816283,-,TSS,KH.C5.86,KH.C5.86.v2.A.nonSL4-1
KhC1,6031438,6031483,6031441,-,intergenic,KH.C1.694,KH.C1.694.v1.A.ND1-1
KhC7,1787874,1787874,1787874,-,TSS,KH.C7.354,KH.C7.354.v1.A.nonSL1-1
KhC7,2524839,2524842,2524839,-,TSS,KH.C7.371,KH.C7.371.v1.A.nonSL6-1
KhL9,141805,141809,141806,-,TSS,KH.L9.23,KH.L9.23.v1.A.nonSL8-1
KhC1,5575260,5575336,5575336,-,TSS,KH.C1.638,KH.C1.638.v1.A.nonSL8-1
KhC8,1840232,1840235,1840232,+,TSS,KH.C8.130,KH.C8.130.v1.A.ND1-1
KhL38,168733,168733,168733,-,TSS,KH.L38.8,KH.L38.8.v1.C.ND1-1
KhC3,4504058,4504072,4504058,+,intergenic,KH.C3.596,KH.C3.596.v2.A.ND1-1
KhS555,32091,32130,32115,-,TSS,KH.S555.1,KH.S555.1.v1.A.nonSL9-1
KhC8,4389590,4389660,4389632,+,TSS,KH.C8.658,KH.C8.658.v1.B.ND1-1
KhC14,3749108,3749180,3749174,+,TSS,KH.C14.141,KH.C14.141.v1.A.nonSL4-1
KhC4,4190729,4190739,4190729,+,TSS,KH.C4.190,KH.C4.190.v1.A.nonSL4-1
KhC2,2695236,2695421,2695276,-,TSS,KH.C2.202,KH.C2.202.v1.A.nonSL6-1
KhC12,1393390,1393424,1393424,-,intron,KH.C12.390,KH.C12.390.v3.A.SL3-1
KhC2,547236,547279,547260,+,TSS,KH.C2.82,KH.C2.82.v1.A.ND4-1
KhC8,5626227,5626314,5626253,+,TSS,KH.C8.387,KH.C8.387.v1.A.nonSL5-2
KhL153,454814,454845,454815,-,intergenic,KH.L153.55,KH.L153.55.v1.A.ND2-1
KhC6,916683,916691,916691,-,TSS,KH.C6.28,KH.C6.28.v1.A.nonSL2-1
KhC3,132998,133023,133013,+,intron,KH.C3.278,KH.C3.278.v1.C.ND1-1
KhC7,5695832,5695836,5695832,+,intergenic,KH.C7.122,KH.C7.122.v1.A.nonSL4-1
KhL88,511,513,513,+,TSS,KH.L88.1,KH.L88.1.v1.A.ND1-1
KhC14,638837,638842,638842,-,TSS,KH.C14.200,KH.C14.200.v1.B.nonSL2-1
KhL149,205745,205831,205764,-,TSS,KH.L149.39,KH.L149.39.v1.A.nonSL2-1
KhS1391,7732,7742,7736,-,TSS,KH.S1391.3,KH.S1391.3.v1.A.nonSL2-1
KhC3,815401,815402,815401,-,TSS,KH.C3.897,KH.C3.897.v1.A.nonSL5-1
KhC7,1556971,1557052,1557001,-,intergenic,KH.C7.768,KH.C7.768.v1.A.ND1-1
KhC5,2617168,2617169,2617168,+,intron,KH.C5.495,KH.C5.495.v1.A.SL1-1
KhC12,2860062,2860066,2860066,-,intergenic,KH.C12.296,KH.C12.296.v1.A.nonSL5-1
KhC6,1839975,1839978,1839978,-,TSS,KH.C6.133,KH.C6.133.v3.A.ND1-1
KhC4,3699315,3699326,3699319,+,intergenic,KH.C4.431,KH.C4.431.v1.A.ND1-1
KhC12,4111541,4111552,4111541,+,TSS,KH.C12.466,KH.C12.466.v1.A.nonSL6-1
KhC12,3661256,3661301,3661298,-,TSS,KH.C12.638,KH.C12.638.v1.A.ND1-1
KhS403,27133,27165,27163,-,TSS,KH.S403.2,KH.S403.2.v4.A.nonSL9-1
KhC4,5108831,5108871,5108840,+,intergenic,KH.C4.230,KH.C4.230.v1.A.nonSL3-1
KhS1007,13202,13202,13202,+,intergenic,No_transcripts,No_transcripts
KhC6,141944,142016,141980,-,TSS,KH.C6.71,KH.C6.71.v2.A.nonSL8-1
KhC10,3220028,3220029,3220029,+,TSS,KH.C10.281,KH.C10.281.v1.A.ND1-1
KhC3,1094466,1094474,1094471,-,TSS,KH.C3.640,KH.C3.640.v1.A.ND1-1
KhL141,60760,60793,60782,+,TSS,KH.L141.5,KH.L141.5.v2.A.nonSL6-2
KhL4,78764,78780,78764,-,TSS,KH.L4.55,KH.L4.55.v1.A.nonSL16-1
KhC1,413895,413896,413896,-,TSS,KH.C1.287,KH.C1.287.v1.A.nonSL4-1
KhC14,2215725,2215788,2215747,+,TSS,KH.C14.189,KH.C14.189.v1.B.nonSL5-1
KhC11,4040650,4040659,4040659,-,intergenic,KH.C11.598,KH.C11.598.v1.C.nonSL5-1
KhL22,124059,124059,124059,+,intergenic,KH.L22.35,KH.L22.35.v1.C.ND1-1
KhC7,3311544,3311648,3311559,+,intron,KH.C7.234,KH.C7.234.v1.A.ND1-1
KhC8,5285097,5285148,5285105,+,intron,KH.C8.217,KH.C8.217.v3.A.SL4-1
KhC2,345448,345460,345453,-,TSS,KH.C2.427,KH.C2.427.v1.A.ND1-1
KhL154,260747,260750,260750,-,TSS,KH.L154.26,KH.L154.26.v1.A.nonSL4-2
KhC9,1749792,1749793,1749792,+,TSS,KH.C9.261,KH.C9.261.v1.A.nonSL7-1
KhC2,3409268,3409268,3409268,-,intergenic,KH.C2.853,KH.C2.853.v1.A.ND1-1
KhS2590,3021,3021,3021,+,TSS,KH.S2590.2,KH.S2590.2.v2.C.nonSL1-1
KhC1,8979115,8979226,8979146,+,TSS,KH.C1.22,KH.C1.22.v1.A.ND1-1
KhC6,1820219,1820259,1820233,+,TSS,KH.C6.39,KH.C6.39.v1.A.ND2-1
KhL41,115468,115469,115469,-,TSS,KH.L41.49,KH.L41.49.v2.A.nonSL1-1
KhC7,4025943,4026027,4025951,+,TAS,KH.C7.230,KH.C7.230.v1.A.SL1-1
KhC3,6644732,6644760,6644750,-,TSS,KH.C3.69,KH.C3.69.v1.A.nonSL10-1
KhL144,98590,98592,98592,-,intergenic,KH.L144.12,KH.L144.12.v1.A.ND2-1
KhC1,8932585,8932601,8932585,+,TSS,KH.C1.303,KH.C1.303.v1.A.nonSL4-1
KhC7,5606817,5606824,5606817,-,TSS,KH.C7.516,KH.C7.516.v1.A.nonSL2-1
KhC3,3044428,3044428,3044428,+,intergenic,KH.C3.110,KH.C3.110.v1.A.nonSL4-1
KhC1,9030502,9030554,9030518,-,TSS,KH.C1.43,KH.C1.43.v2.A.ND1-1
KhL55,12800,12840,12829,-,TSS,KH.L55.1,KH.L55.1.v1.C.nonSL3-1
KhC9,955038,955038,955038,+,TSS,KH.C9.358,KH.C9.358.v1.A.nonSL3-1
KhC5,3136487,3136534,3136492,-,TSS,KH.C5.490,KH.C5.490.v1.A.nonSL4-1
KhC12,4402880,4402974,4402957,-,TSS,KH.C12.578,KH.C12.578.v2.A.ND2-1
KhC10,4187125,4187208,4187135,+,intergenic,KH.C10.559,KH.C10.559.v1.A.nonSL3-1
KhL7,131860,131933,131895,+,TSS,KH.L7.24,KH.L7.24.v1.A.nonSL4-1
KhL92,15035,15185,15171,+,TAS,KH.L92.17,KH.L92.17.v4.B.SL2-1
KhC7,5425266,5425361,5425329,+,TSS,KH.C7.479,KH.C7.479.v1.A.ND1-1
KhL37,187132,187167,187138,+,intergenic,KH.L37.23,KH.L37.23.v1.A.nonSL6-1
KhC11,4691474,4691474,4691474,+,TSS,KH.C11.393,KH.C11.393.v1.A.nonSL2-1
KhS612,10046,10098,10079,-,TSS,KH.S612.3,KH.S612.3.v1.A.nonSL7-1
KhC8,3744155,3744239,3744186,+,TSS,KH.C8.42,KH.C8.42.v1.A.ND1-1
KhC5,2096120,2096146,2096126,-,intergenic,KH.C5.515,KH.C5.515.v1.A.ND1-1
KhC4,2464586,2464637,2464602,-,intergenic,KH.C4.464,KH.C4.464.v1.A.ND1-1
KhC13,627802,627964,627912,-,TSS,KH.C13.13,KH.C13.13.v3.A.nonSL6-1
KhC7,5604465,5604483,5604483,+,TSS,KH.C7.535,KH.C7.535.v1.A.nonSL19-1
KhL106,64778,64779,64779,+,intergenic,KH.L106.5,KH.L106.5.v1.A.ND1-1
KhL99,19167,19241,19193,-,TSS,KH.L99.9,KH.L99.9.v1.A.nonSL4-1
KhC8,4281525,4281531,4281528,-,TSS,KH.C8.661,KH.C8.661.v1.A.ND1-1
KhC1,6765192,6765192,6765192,+,intergenic,KH.C1.1154,KH.C1.1154.v1.A.ND1-1
KhL81,5125,5160,5144,-,TSS,KH.L81.1,KH.L81.1.v1.A.nonSL6-1
KhC5,2455504,2455562,2455509,-,TSS,KH.C5.626,KH.C5.626.v1.A.nonSL3-1
KhC8,4296450,4296499,4296460,+,intergenic,KH.C8.338,KH.C8.338.v1.A.nonSL2-1
KhC7,5765987,5765988,5765987,-,TSS,KH.C7.692,KH.C7.692.v1.C.nonSL2-1
KhC11,3986996,3987048,3987048,+,TSS,KH.C11.9,KH.C11.9.v1.A.ND2-1
KhC7,2893406,2893408,2893406,+,intergenic,KH.C7.675,KH.C7.675.v1.A.nonSL2-1
KhC8,4317443,4317464,4317461,+,TSS,KH.C8.587,KH.C8.587.v1.A.nonSL2-1
KhC11,3546403,3546556,3546527,-,intergenic,KH.C11.156,KH.C11.156.v1.A.nonSL3-1
KhC8,1046754,1046780,1046754,-,intergenic,KH.C8.763,KH.C8.763.v1.B.nonSL2-1
KhS678,10432,10432,10432,+,TSS,KH.S678.4,KH.S678.4.v1.A.nonSL1-1
KhC1,1317834,1317870,1317855,-,TSS,KH.C1.59,KH.C1.59.v4.A.nonSL9-1
KhC11,4079323,4079396,4079328,-,5UTR,KH.C11.533,KH.C11.533.v1.A.nonSL3-1
KhC8,4396333,4396337,4396337,-,5UTR,KH.C8.467,KH.C8.467.v1.A.nonSL2-1
KhC3,5037256,5037281,5037271,+,intergenic,KH.C3.389,KH.C3.389.v1.A.nonSL3-1
KhC10,4211905,4211926,4211921,+,TSS,KH.C10.577,KH.C10.577.v1.A.nonSL3-1
KhL126,37733,37828,37733,+,TSS,KH.L126.12,KH.L126.12.v1.B.nonSL5-1
KhL97,35114,35114,35114,-,intergenic,KH.L97.14,KH.L97.14.v1.A.ND1-1
KhC10,1060647,1060671,1060663,-,intergenic,KH.C10.387,KH.C10.387.v1.A.ND1-1
KhC14,2488157,2488170,2488158,+,TSS,KH.C14.593,KH.C14.593.v1.A.nonSL4-1
KhC4,2183153,2183207,2183201,+,intergenic,KH.C4.567,KH.C4.567.v1.A.ND1-1
KhC11,4545649,4545763,4545763,-,TSS,KH.C11.502,KH.C11.502.v1.A.nonSL6-1
KhC5,4033921,4033967,4033949,+,intergenic,KH.C5.646,KH.C5.646.v1.A.ND1-1
KhC2,69985,70041,70002,-,5UTR,KH.C2.544,KH.C2.544.v1.A.nonSL4-1
KhC2,626639,626783,626750,-,TSS,KH.C2.919,KH.C2.919.v1.A.ND2-1
KhC3,5371740,5371740,5371740,-,intergenic,KH.C3.448,KH.C3.448.v2.C.nonSL7-2
KhL102,87791,87885,87883,+,TSS,KH.L102.4,KH.L102.4.v1.A.nonSL2-1
KhC7,2894221,2894231,2894231,+,intergenic,KH.C7.675,KH.C7.675.v1.A.nonSL2-1
KhC5,76009,76031,76027,+,intergenic,KH.C5.531,KH.C5.531.v1.A.ND1-1
KhC11,1181444,1181477,1181447,+,intergenic,KH.C11.591,KH.C11.591.v1.A.ND1-1
KhL31,3608,3706,3667,+,intron,KH.L31.3,KH.L31.3.v2.A.nonSL6-1
KhC8,406223,406277,406226,+,TSS,KH.C8.558,KH.C8.558.v2.A.nonSL5-1
KhC14,2423774,2423931,2423884,-,5UTR,KH.C14.492,KH.C14.492.v1.C.nonSL40-1
KhC1,7306770,7306770,7306770,+,intergenic,KH.C1.646,KH.C1.646.v2.A.nonSL6-1
KhC4,4923408,4923437,4923425,-,intergenic,KH.C4.284,KH.C4.284.v1.A.ND1-1
KhL37,139062,139086,139086,+,TSS,KH.L37.52,KH.L37.52.v1.C.nonSL9-1
KhC2,2582891,2582891,2582891,-,intergenic,KH.C2.676,KH.C2.676.v1.A.ND1-1
KhC10,1644787,1644961,1644928,-,TSS,KH.C10.187,KH.C10.187.v1.A.nonSL12-1
KhC5,4449829,4449902,4449879,+,TSS,KH.C5.214,KH.C5.214.v1.A.ND1-1
KhL29,28226,28236,28226,-,intergenic,KH.L29.1,KH.L29.1.v2.A.ND2-1
KhC14,3872292,3872299,3872292,+,5UTR,KH.C14.522,KH.C14.522.v1.A.SL1-1
KhC2,5040100,5040128,5040128,-,TSS,KH.C2.161,KH.C2.161.v1.A.nonSL15-1
KhS1007,4716,4760,4760,-,TSS,KH.S1007.3,KH.S1007.3.v1.A.ND1-1
KhC14,521400,521476,521444,-,TSS,KH.C14.105,KH.C14.105.v2.A.nonSL5-1
KhL5,22608,22614,22611,+,TSS,KH.L5.5,KH.L5.5.v1.A.ND1-1
KhL130,6550,6632,6599,+,5UTR,KH.L130.3,KH.L130.3.v1.A.nonSL7-1
KhC1,1618313,1618418,1618332,-,TSS,KH.C1.100,KH.C1.100.v1.A.nonSL2-1
KhC12,4177612,4177684,4177650,-,TSS,KH.C12.457,KH.C12.457.v1.A.nonSL2-1
KhC4,2337488,2337504,2337502,+,intergenic,KH.C4.134,KH.C4.134.v1.A.ND1-1
KhC11,3224738,3224785,3224746,+,TSS,KH.C11.453,KH.C11.453.v1.A.nonSL5-1
KhL76,184275,184277,184275,-,intergenic,KH.L76.4,KH.L76.4.v1.A.ND2-1
KhC9,3317670,3317713,3317699,+,intergenic,KH.C9.18,KH.C9.18.v1.A.ND1-1
KhC9,3316836,3316838,3316836,-,intergenic,KH.C9.331,KH.C9.331.v1.A.nonSL3-1
KhC5,2536835,2536864,2536864,+,TSS,KH.C5.454,KH.C5.454.v1.B.nonSL2-1
KhC11,693302,693302,693302,-,intergenic,KH.C11.260,KH.C11.260.v1.A.ND1-1
KhC8,1259835,1259851,1259846,+,TSS,KH.C8.540,KH.C8.540.v2.A.nonSL8-1
KhC9,5997912,5997912,5997912,-,intergenic,KH.C9.310,KH.C9.310.v1.A.nonSL6-1
KhC3,1390670,1390760,1390708,+,TSS,KH.C3.108,KH.C3.108.v1.A.nonSL4-1
KhC2,4809721,4809756,4809752,+,TSS,KH.C2.715,KH.C2.715.v1.A.ND1-1
KhC14,2424304,2424444,2424349,+,TSS,KH.C14.259,KH.C14.259.v1.A.nonSL4-1
KhC4,2270587,2270644,2270587,+,intergenic,KH.C4.100,KH.C4.100.v1.A.ND1-1
KhC3,2958378,2958379,2958378,-,intergenic,KH.C3.297,KH.C3.297.v1.A.ND2-1
KhC1,3474150,3474150,3474150,-,intergenic,KH.C1.300,KH.C1.300.v1.A.ND1-1
KhC6,586196,586197,586197,-,TSS,KH.C6.46,KH.C6.46.v2.A.nonSL1-1
KhL24,125188,125188,125188,-,TSS,KH.L24.12,KH.L24.12.v1.A.ND1-1
KhC9,1085344,1085379,1085360,-,intergenic,KH.C9.694,KH.C9.694.v1.A.ND1-1
KhC7,467564,467569,467567,+,intergenic,KH.C7.108,KH.C7.108.v1.A.nonSL3-1
KhL57,13775,13832,13793,+,5UTR,KH.L57.18,KH.L57.18.v1.A.nonSL5-1
KhL108,89620,89648,89620,-,TSS,KH.L108.40,KH.L108.40.v2.A.ND2-2
KhC11,2125831,2125853,2125835,-,TSS,KH.C11.327,KH.C11.327.v1.A.nonSL2-1
KhL37,165036,165074,165049,-,TSS,KH.L37.7,KH.L37.7.v2.A.nonSL4-1
KhC5,4841255,4841335,4841273,-,TSS,KH.C5.401,KH.C5.401.v1.A.nonSL6-1
KhL153,368218,368224,368218,-,TSS,KH.L153.67,KH.L153.67.v1.A.nonSL4-1
KhC5,1164440,1164450,1164449,-,TSS,KH.C5.629,KH.C5.629.v1.A.nonSL16-1
KhC3,5961679,5961679,5961679,+,5UTR,KH.C3.148,KH.C3.148.v1.C.SL1-1
KhC2,488089,488116,488099,-,TSS,KH.C2.490,KH.C2.490.v1.A.nonSL4-1
KhL30,5363,5363,5363,-,TSS,KH.L30.1,KH.L30.1.v1.A.nonSL7-1
KhS779,3947,3947,3947,+,TSS,KH.S779.7,KH.S779.7.v1.A.nonSL2-1
KhL75,45482,45502,45486,-,TSS,KH.L75.12,KH.L75.12.v1.A.nonSL19-1
KhC7,5176121,5176171,5176130,+,TSS,KH.C7.357,KH.C7.357.v1.A.ND1-1
KhS406,25307,25358,25307,-,TSS,KH.S406.22,KH.S406.22.v1.A.nonSL10-1
KhC2,2417046,2417055,2417046,+,TSS,KH.C2.108,KH.C2.108.v1.A.nonSL3-2
KhC3,2018475,2018545,2018505,-,intergenic,KH.C3.742,KH.C3.742.v1.A.ND1-1
KhC10,2075299,2075299,2075299,+,TSS,KH.C10.456,KH.C10.456.v1.A.nonSL4-1
KhC14,1917886,1917903,1917889,+,TSS,KH.C14.553,KH.C14.553.v1.B.nonSL3-1
KhL147,15544,15618,15559,-,TSS,KH.L147.31,KH.L147.31.v1.A.nonSL17-1
KhL126,24134,24173,24134,+,intergenic,KH.L126.10,KH.L126.10.v1.A.ND1-1
KhL154,389731,389796,389757,+,TSS,KH.L154.35,KH.L154.35.v2.A.nonSL6-1
KhS1993,3580,3595,3588,-,intron,KH.S1993.1,KH.S1993.1.v1.B.ND1-1
KhC8,5814986,5814986,5814986,-,TSS,KH.C8.210,KH.C8.210.v1.A.nonSL3-1
KhC1,7191316,7191316,7191316,+,TSS,KH.C1.20,KH.C1.20.v2.A.nonSL2-1
KhS404,3651,3654,3654,-,TSS,KH.S404.12,KH.S404.12.v1.C.nonSL3-1
KhC14,979163,979201,979186,+,intergenic,KH.C14.514,KH.C14.514.v1.A.ND1-1
KhC3,723398,723403,723398,-,TSS,KH.C3.137,KH.C3.137.v1.A.nonSL5-1
KhC9,2920151,2920275,2920202,-,intergenic,KH.C9.246,KH.C9.246.v1.A.ND1-1
KhL141,469929,469932,469929,+,TSS,KH.L141.73,KH.L141.73.v1.A.ND1-1
KhL154,276764,276818,276774,-,TSS,KH.L154.25,KH.L154.25.v2.A.nonSL6-1
KhC8,1274608,1274613,1274613,+,intergenic,KH.C8.229,KH.C8.229.v1.A.ND1-1
KhC3,372704,372705,372705,-,TSS,KH.C3.72,KH.C3.72.v1.A.nonSL2-1
KhS1494,5379,5398,5394,+,intergenic,KH.S1494.3,KH.S1494.3.v1.A.ND1-1
KhL147,131076,131084,131077,+,TSS,KH.L147.17,KH.L147.17.v1.A.nonSL1-1
KhC1,9329999,9330013,9330008,-,intergenic,KH.C1.1243,KH.C1.1243.v1.A.ND1-1
KhC3,2860083,2860094,2860083,-,TSS,KH.C3.541,KH.C3.541.v1.A.ND2-1
KhC2,2736892,2736892,2736892,-,TSS,KH.C2.1154,KH.C2.1154.v10.A.nonSL1-3
KhC13,973536,973538,973538,+,intergenic,KH.C13.104,KH.C13.104.v1.C.ND1-1
KhS389,61393,61406,61395,+,intergenic,KH.S389.1,KH.S389.1.v2.B.nonSL7-1
KhC2,7439737,7439738,7439737,+,TSS,KH.C2.28,KH.C2.28.v2.A.nonSL6-1
KhL40,84331,84367,84344,+,TSS,KH.L40.16,KH.L40.16.v1.A.nonSL3-1
KhS665,25676,25756,25677,+,TSS,KH.S665.5,KH.S665.5.v1.C.ND1-1
KhS406,37077,37089,37083,-,TSS,KH.S406.6,KH.S406.6.v1.A.nonSL5-1
KhC12,2495699,2495802,2495728,+,intron,KH.C12.497,KH.C12.497.v1.A.nonSL2-1
KhC6,221628,221639,221633,+,TSS,KH.C6.144,KH.C6.144.v1.A.nonSL5-1
KhC11,260705,260709,260706,+,TSS,KH.C11.200,KH.C11.200.v1.A.nonSL4-1
KhC2,2800369,2800383,2800383,-,TSS,KH.C2.977,KH.C2.977.v1.A.nonSL3-1
KhC10,631138,631228,631228,-,TSS,KH.C10.217,KH.C10.217.v1.A.nonSL2-1
KhS256,52182,52187,52182,+,intergenic,KH.S256.8,KH.S256.8.v1.C.ND1-1
KhL106,75145,75155,75145,+,TSS,KH.L106.12,KH.L106.12.v1.A.nonSL8-1
KhC3,6539308,6539318,6539308,-,TSS,KH.C3.87,KH.C3.87.v1.A.nonSL17-1
KhC12,4172894,4172910,4172904,-,TSS,KH.C12.593,KH.C12.593.v1.A.nonSL5-1
KhC5,4752364,4752370,4752365,+,TSS,KH.C5.25,KH.C5.25.v1.A.nonSL2-1
KhC8,3737646,3737729,3737661,-,TSS,KH.C8.520,KH.C8.520.v2.A.nonSL4-1
KhL124,31543,31629,31554,-,TSS,KH.L124.21,KH.L124.21.v1.A.nonSL21-1
KhC10,3981939,3981939,3981939,-,intergenic,KH.C10.475,KH.C10.475.v1.A.ND1-1
KhC11,833263,833338,833313,-,TSS,KH.C11.121,KH.C11.121.v1.A.nonSL6-1
KhL37,305601,305658,305658,-,TAS,KH.L37.80,KH.L37.80.v1.A.SL1-1
KhL37,236415,236516,236508,-,TSS,KH.L37.65,KH.L37.65.v1.A.nonSL2-1
KhC1,7182440,7182443,7182443,-,TSS,KH.C1.216,KH.C1.216.v4.A.ND4-1
KhC9,2176684,2176757,2176731,-,5UTR,KH.C9.217,KH.C9.217.v1.A.nonSL6-1
KhL37,104675,104703,104693,-,TSS,KH.L37.75,KH.L37.75.v1.A.ND2-1
KhS966,3467,3489,3485,+,intergenic,KH.S966.7,KH.S966.7.v1.A.nonSL3-1
KhC10,3398559,3398559,3398559,-,TSS,KH.C10.516,KH.C10.516.v1.A.nonSL1-1
KhL65,111293,111293,111293,-,intron,KH.L65.11,KH.L65.11.v2.B.SL1-1
KhC5,4613924,4613991,4613952,-,TSS,KH.C5.13,KH.C5.13.v1.A.ND1-1
KhC10,1512508,1512524,1512510,+,TSS,KH.C10.191,KH.C10.191.v1.A.ND1-1
KhC2,5115570,5115628,5115578,+,TSS,KH.C2.393,KH.C2.393.v1.A.nonSL19-1
KhL57,139032,139038,139035,+,intergenic,KH.L57.21,KH.L57.21.v1.A.ND1-1
KhC4,701494,701527,701527,+,TSS,KH.C4.657,KH.C4.657.v1.A.nonSL3-1
KhC10,3322491,3322554,3322534,+,intergenic,KH.C10.503,KH.C10.503.v1.A.ND1-1
KhC12,4146183,4146184,4146184,-,TSS,KH.C12.630,KH.C12.630.v1.A.nonSL10-1
KhC7,2209241,2209299,2209264,-,TSS,KH.C7.564,KH.C7.564.v1.A.ND1-1
KhC10,2631998,2632028,2632028,-,intergenic,KH.C10.476,KH.C10.476.v1.A.nonSL4-1
KhS793,17774,17774,17774,-,TSS,KH.S793.1,KH.S793.1.v1.A.nonSL3-1
KhS164,10240,10390,10358,-,TSS,KH.S164.9,KH.S164.9.v2.A.nonSL3-1
KhL13,154710,154716,154716,-,intergenic,KH.L13.17,KH.L13.17.v2.A.ND1-1
KhC14,1761722,1761725,1761725,-,intergenic,KH.C14.504,KH.C14.504.v1.C.nonSL3-1
